City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Los Llanos De Aridane,ES,2021-01-30 17:00:59,28.6585,-17.9182,68.0,68,75,14.97
224,Marsh Harbour,BS,2021-01-30 17:00:59,26.5412,-77.0636,65.62,60,53,11.56
225,Ambilobe,MG,2021-01-30 17:00:59,-13.2,49.05,75.92,90,80,1.41
226,Chernoyerkovskaya,RU,2021-01-30 17:00:59,45.4331,37.7686,44.6,65,20,11.18
227,Tual,ID,2021-01-30 17:00:59,-5.6667,132.75,83.37,74,100,10.07
228,Malartic,CA,2021-01-30 16:57:53,48.1335,-78.1328,-2.99,84,75,4.61
229,Livermore,US,2021-01-30 16:56:00,37.6819,-121.768,45.0,100,68,2.1
230,Aksu,CN,2021-01-30 17:00:59,41.1231,80.2644,21.54,79,0,1.59
231,Samarai,PG,2021-01-30 17:01:00,-10.6167,150.6667,82.63,75,100,16.4
232,Abhayapuri,IN,2021-01-30 17:01:00,26.3333,90.6667,59.81,34,0,2.8
233,Mar Del Plata,AR,2021-01-30 17:01:01,-38.0023,-57.5575,64.4,59,90,17.27
234,Fort Stewart,US,2021-01-30 17:01:01,31.8722,-81.61,57.99,50,1,11.5
235,Pevek,RU,2021-01-30 17:01:01,69.7008,170.3133,-32.48,85,44,3.8
236,Lorengau,PG,2021-01-30 17:01:01,-2.0226,147.2712,81.9,81,100,12.68
237,Fairbanks,US,2021-01-30 17:01:02,64.8378,-147.7164,-9.0,77,90,1.39
238,Smithers,CA,2021-01-30 17:01:02,54.7804,-127.1743,12.2,85,75,0.81
239,Karlskoga,SE,2021-01-30 17:01:02,59.3267,14.5239,16.0,86,30,5.75
240,Lasa,IT,2021-01-30 17:01:03,46.6166,10.7002,41.0,75,0,3.44
241,Tortoman,RO,2021-01-30 17:01:03,44.35,28.2167,37.4,93,100,17.27
242,Berbera,SO,2021-01-30 17:01:03,10.4396,45.0143,75.74,73,29,8.28
243,Mount Gambier,AU,2021-01-30 17:01:03,-37.8333,140.7667,55.4,88,5,6.91
244,Progreso,MX,2021-01-30 17:00:52,21.2833,-89.6667,80.01,50,1,8.05
245,Naze,JP,2021-01-30 17:01:03,28.3667,129.4833,51.26,67,0,8.75
246,Kaitangata,NZ,2021-01-30 17:01:03,-46.2817,169.8464,45.0,90,20,1.99
247,Encarnacion,PY,2021-01-30 17:01:03,-27.3333,-55.9,86.0,54,75,9.22
248,Mitha Tiwana,PK,2021-01-30 17:01:04,32.2486,72.1108,54.93,35,1,4.76
249,Beloha,MG,2021-01-30 17:01:04,-25.1667,45.05,81.7,61,55,5.97
250,Moyale,KE,2021-01-30 16:56:20,3.5167,39.0584,76.86,20,11,11.65
251,Kalmunai,LK,2021-01-30 16:56:25,7.4167,81.8167,77.7,84,77,6.44
252,Vredendal,ZA,2021-01-30 17:01:04,-31.6683,18.5012,70.09,62,0,19.53
253,Butaritari,KI,2021-01-30 17:01:04,3.0707,172.7902,80.69,78,94,17.05
254,Fort Nelson,CA,2021-01-30 17:01:04,58.8053,-122.7002,-25.6,75,40,1.12
255,Ponta Delgada,PT,2021-01-30 17:01:04,37.7333,-25.6667,64.99,94,75,14.97
256,Margate,GB,2021-01-30 16:59:18,51.3813,1.3862,39.99,90,100,4.0
257,Olinda,BR,2021-01-30 16:58:26,-8.0089,-34.8553,82.4,61,40,10.36
258,Olafsvik,IS,2021-01-30 17:01:05,64.8945,-23.7142,23.52,91,36,20.65
259,Bathsheba,BB,2021-01-30 17:01:05,13.2167,-59.5167,84.2,65,40,19.57
260,Baruni,IN,2021-01-30 17:01:05,25.4833,85.9833,51.26,51,0,6.76
261,Ciacova,RO,2021-01-30 17:01:05,45.5081,21.1286,46.4,93,0,6.91
262,Nikolskoye,RU,2021-01-30 17:01:05,59.7035,30.7861,28.4,93,75,11.18
263,Karratha,AU,2021-01-30 17:01:05,-20.7377,116.8463,85.17,55,89,13.8
264,Manakara,MG,2021-01-30 17:01:05,-22.1333,48.0167,79.81,80,11,9.37
265,Coruripe,BR,2021-01-30 17:01:06,-10.1256,-36.1756,84.76,62,89,12.84
266,Lindas,NO,2021-01-30 17:01:06,60.7381,5.16,30.99,93,75,1.14
267,Clyde River,CA,2021-01-30 17:01:06,70.4692,-68.5914,-20.2,76,1,5.91
268,Puerto Madryn,AR,2021-01-30 16:57:20,-42.7692,-65.0385,68.04,43,0,13.82
269,Wasilla,US,2021-01-30 17:01:06,61.5814,-149.4394,14.0,85,1,0.47
270,Zhezkazgan,KZ,2021-01-30 17:01:06,47.8043,67.7144,18.19,95,100,8.93
271,Nikko,JP,2021-01-30 17:01:06,36.75,139.6167,30.99,52,16,1.99
272,Guiberoua,CI,2021-01-30 17:01:07,6.2392,-6.1727,88.84,46,79,2.64
273,Tura,IN,2021-01-30 17:01:07,25.5198,90.2201,53.01,40,0,1.52
274,Los Andes,CL,2021-01-30 17:01:07,-32.8337,-70.5983,82.0,60,75,6.91
275,San Julian,MX,2021-01-30 17:01:07,21.0167,-102.1667,67.73,39,18,5.97
276,Kokopo,PG,2021-01-30 17:01:07,-4.352,152.2633,80.11,85,83,14.43
277,Port Macquarie,AU,2021-01-30 17:01:07,-31.4333,152.9167,70.0,99,29,8.63
278,Omsukchan,RU,2021-01-30 17:01:07,62.5333,155.8,-31.63,80,100,7.0
279,Luderitz,NA,2021-01-30 17:01:08,-26.6481,15.1594,73.74,47,0,28.3
280,Narva-Joesuu,EE,2021-01-30 16:59:11,59.4589,28.0408,25.38,97,100,9.08
281,Hambantota,LK,2021-01-30 17:01:08,6.1241,81.1185,78.17,83,90,11.77
282,Tunkas,MX,2021-01-30 17:01:08,20.9,-88.75,79.07,51,58,7.96
283,Aksarayskiy,RU,2021-01-30 17:01:08,46.7924,48.0119,33.8,93,90,8.95
284,Flin Flon,CA,2021-01-30 17:01:08,54.7682,-101.865,12.2,85,90,2.3
285,Rosetta,EG,2021-01-30 17:01:08,31.4044,30.4164,64.4,52,0,12.66
286,Chitral,PK,2021-01-30 17:01:08,35.8462,71.7858,34.97,56,8,4.79
287,Hammerfest,NO,2021-01-30 17:01:08,70.6634,23.6821,26.6,93,90,20.71
288,Kailua,US,2021-01-30 16:56:35,21.4022,-157.7394,73.4,73,20,13.8
289,Tevriz,RU,2021-01-30 17:01:09,57.509,72.4042,1.6,93,100,9.73
290,Cozumel,MX,2021-01-30 16:59:42,20.5083,-86.9458,79.0,69,75,5.75
